filename,label
audio_173.wav,3.0
audio_138.wav,3.0
audio_127.wav,2.0
audio_95.wav,2.0
audio_73.wav,3.5
audio_34.wav,4.0
audio_120_2.wav,3.0
audio_224.wav,2.0
audio_342.wav,2.0
audio_228.wav,2.0
audio_133.wav,3.0
audio_223.wav,3.0
audio_287.wav,2.5
audio_332.wav,2.5
audio_158.wav,3.0
audio_91.wav,4.0
audio_358.wav,3.0
audio_79.wav,4.5
audio_10.wav,3.0
audio_78.wav,2.0
audio_313.wav,2.0
audio_239.wav,3.0
audio_31.wav,3.0
audio_74.wav,3.5
audio_204.wav,2.5
audio_57.wav,3.0
audio_369.wav,2.0
audio_194.wav,5.0
audio_282.wav,2.0
audio_105.wav,3.5
audio_138_2.wav,3.0
audio_212.wav,3.0
audio_230.wav,2.0
audio_16.wav,2.5
audio_249.wav,3.5
audio_1.wav,3.0
audio_303.wav,4.0
audio_317.wav,3.0
audio_111.wav,3.0
audio_267.wav,3.0
audio_85.wav,2.0
audio_221.wav,3.0
audio_232_2.wav,3.0
audio_372.wav,2.0
audio_56.wav,5.0
audio_269.wav,3.5
audio_337.wav,3.0
audio_359.wav,2.5
audio_43.wav,3.0
audio_333.wav,5.0
audio_71.wav,2.5
audio_40.wav,2.5
audio_83.wav,3.0
audio_26.wav,2.5
audio_195.wav,3.0
audio_156.wav,2.5
audio_166.wav,5.0
audio_361.wav,3.0
audio_23.wav,2.0
audio_234.wav,3.0
audio_47.wav,3.5
audio_43_2.wav,3.0
audio_354.wav,4.5
audio_77.wav,2.0
audio_343.wav,2.5
audio_58.wav,3.0
audio_185.wav,3.0
audio_25.wav,2.0
audio_18.wav,3.0
audio_168.wav,3.0
audio_256.wav,3.0
audio_32.wav,3.0
audio_279.wav,2.5
audio_102_2.wav,3.0
audio_193.wav,4.0
audio_362.wav,1.0
audio_321.wav,2.5
audio_153.wav,4.5
audio_6.wav,3.0
audio_46.wav,2.5
audio_94.wav,3.5
audio_285.wav,3.0
audio_109.wav,2.5
audio_240_2.wav,2.0
audio_248.wav,3.5
audio_176.wav,2.0
audio_4.wav,3.0
audio_19.wav,4.5
audio_360_2.wav,3.0
audio_194_2.wav,5.0
audio_182.wav,2.5
audio_64.wav,2.5
audio_288.wav,2.0
audio_102.wav,3.0
audio_115.wav,4.0
audio_177.wav,3.5
audio_154_2.wav,3.0
audio_132.wav,2.0
audio_125.wav,3.0
audio_226.wav,3.0
audio_203.wav,5.0
audio_306_2.wav,2.5
audio_127_2.wav,2.0
audio_263.wav,2.0
audio_73_2.wav,3.5
audio_76.wav,3.0
audio_114.wav,2.0
audio_117.wav,2.0
audio_17.wav,3.0
audio_67.wav,2.5
audio_154.wav,3.0
audio_8.wav,2.0
audio_20.wav,2.0
audio_141.wav,2.0
audio_363.wav,3.0
audio_357.wav,2.5
audio_119.wav,2.0
audio_109_2.wav,2.5
audio_300.wav,4.5
audio_238_2.wav,2.0
audio_305.wav,2.5
audio_61.wav,3.5
audio_80.wav,2.0
audio_292.wav,2.0
audio_324.wav,3.5
audio_262.wav,5.0
audio_335.wav,3.0
audio_110.wav,4.0
audio_336_2.wav,2.0
audio_174.wav,3.0
audio_142.wav,3.0
audio_319.wav,3.0
audio_254.wav,3.5
audio_240.wav,2.0
audio_149.wav,3.5
audio_251.wav,3.0
audio_181.wav,2.5
audio_120.wav,3.0
audio_199.wav,3.0
audio_209.wav,2.0
audio_146.wav,2.0
audio_246.wav,3.0
audio_315.wav,3.0
audio_37.wav,3.0
audio_140.wav,2.0
audio_299.wav,3.0
audio_159.wav,2.5
audio_302.wav,4.0
audio_336.wav,2.0
audio_60.wav,2.0
audio_112.wav,2.5
audio_169.wav,2.5
audio_178.wav,5.0
audio_7.wav,3.0
audio_295.wav,3.0
audio_281.wav,3.0
audio_151.wav,3.0
audio_11.wav,3.0
audio_197.wav,2.5
audio_104.wav,3.0
audio_82.wav,3.0
audio_211.wav,3.5
audio_250.wav,3.0
audio_40_2.wav,2.5
audio_328.wav,2.0
audio_219.wav,4.0
audio_156_2.wav,2.5
audio_365.wav,5.0
audio_90.wav,3.0
audio_196.wav,4.0
audio_164.wav,2.0
audio_148.wav,3.0
audio_235.wav,3.0
audio_93.wav,2.0
audio_70.wav,2.5
audio_124.wav,2.5
audio_97.wav,2.0
audio_144.wav,2.5
audio_311.wav,3.0
audio_98.wav,3.0
audio_238.wav,2.0
audio_69.wav,3.0
audio_24.wav,3.0
audio_38.wav,3.0
audio_145.wav,3.0
audio_123.wav,5.0
audio_272.wav,2.0
audio_183.wav,3.0
audio_68.wav,3.5
audio_352.wav,3.0
audio_220.wav,2.0
audio_291.wav,5.0
audio_325.wav,3.0
audio_232.wav,3.0
audio_126.wav,3.0
audio_147.wav,5.0
audio_350.wav,2.0
audio_87.wav,3.0
audio_1_2.wav,3.0
audio_210.wav,3.0
audio_77_2.wav,2.0
audio_348.wav,2.0
audio_355.wav,2.0
audio_341.wav,3.5
audio_184.wav,3.0
audio_327.wav,2.5
audio_290.wav,3.0
audio_286.wav,3.0
audio_308.wav,3.5
audio_130.wav,2.5
audio_39.wav,2.5
audio_12.wav,3.0
audio_276.wav,3.0
audio_186.wav,3.0
audio_229.wav,2.5
audio_113.wav,3.0
audio_180.wav,3.5
audio_297.wav,3.5
audio_275.wav,5.0
audio_266.wav,3.5
audio_118.wav,2.0
audio_58_2.wav,3.0
audio_284.wav,2.5
audio_181_2.wav,2.5
audio_279_2.wav,2.5
audio_371.wav,5.0
audio_368.wav,3.5
audio_165.wav,3.0
audio_259.wav,3.0
audio_137.wav,2.5
audio_155.wav,3.0
audio_200.wav,3.0
